machine;dim;grain;threads;kernel;variant;iterations;schedule;label;arg;time
leger;480;8;1;sable;ocl;3611;;final;aleai;91613
leger;480;8;1;sable;ocl;3611;;final;aleai;91152
leger;480;8;1;sable;ocl;3611;;final;aleai;90267
leger;480;8;1;sable;ocl;3611;;final;aleai;90338
leger;480;8;1;sable;ocl;3611;;final;aleai;92159
leger;960;8;1;sable;ocl;1831;;final;aleai;87269
leger;960;8;1;sable;ocl;1831;;final;aleai;87290
leger;960;8;1;sable;ocl;1831;;final;aleai;89168
leger;960;8;1;sable;ocl;1831;;final;aleai;87588
leger;960;8;1;sable;ocl;1831;;final;aleai;87578
leger;1920;8;1;sable;ocl;2191;;final;aleai;269535
leger;1920;8;1;sable;ocl;2191;;final;aleai;241972
leger;1920;8;1;sable;ocl;2191;;final;aleai;246420
leger;1920;8;1;sable;ocl;2191;;final;aleai;246413
leger;1920;8;1;sable;ocl;2191;;final;aleai;242514
leger;3840;8;1;sable;ocl;2881;;final;aleai;1173186
leger;3840;8;1;sable;ocl;2881;;final;aleai;1172563
leger;3840;8;1;sable;ocl;2881;;final;aleai;1175867
leger;3840;8;1;sable;ocl;2881;;final;aleai;1173023
leger;3840;8;1;sable;ocl;2881;;final;aleai;1177496
leger;480;8;1;sable;ocl;61241;;final;4partouti;1367317
leger;480;8;1;sable;ocl;61241;;final;4partouti;1467611
leger;480;8;1;sable;ocl;61241;;final;4partouti;1442061
leger;480;8;1;sable;ocl;61241;;final;4partouti;1446947
leger;480;8;1;sable;ocl;61241;;final;4partouti;1441345
leger;480;8;1;sable;tiled;30876;;final;4partouti;24214381
leger;480;8;1;sable;tiled;30876;;final;4partouti;24192378
leger;480;8;1;sable;tiled;30876;;final;4partouti;24178659
leger;480;8;1;sable;tiled;30876;;final;4partouti;24192788
leger;480;8;1;sable;tiled;30876;;final;4partouti;24251518
leger;480;8;1;sable;tiled;1799;dynamic;final;aleai;583616
leger;480;8;1;sable;tiled;1799;dynamic;final;aleai;577524
leger;480;8;1;sable;tiled;1799;dynamic;final;aleai;578168
leger;480;8;1;sable;tiled;1799;dynamic;final;aleai;577651
leger;480;8;1;sable;tiled;1799;dynamic;final;aleai;601774
leger;960;8;1;sable;tiled;927;dynamic;final;aleai;973876
leger;960;8;1;sable;tiled;927;dynamic;final;aleai;972426
leger;960;8;1;sable;tiled;927;dynamic;final;aleai;970671
leger;960;8;1;sable;tiled;927;dynamic;final;aleai;969374
leger;960;8;1;sable;tiled;927;dynamic;final;aleai;972563
leger;1920;8;1;sable;tiled;1097;dynamic;final;aleai;4162647
leger;1920;8;1;sable;tiled;1097;dynamic;final;aleai;4150419
leger;1920;8;1;sable;tiled;1097;dynamic;final;aleai;4160176
leger;1920;8;1;sable;tiled;1097;dynamic;final;aleai;4163668
leger;1920;8;1;sable;tiled;1097;dynamic;final;aleai;4162904
leger;3840;8;1;sable;tiled;1445;dynamic;final;aleai;20868486
leger;3840;8;1;sable;tiled;1445;dynamic;final;aleai;20874619
leger;3840;8;1;sable;tiled;1445;dynamic;final;aleai;20967539
leger;3840;8;1;sable;tiled;1445;dynamic;final;aleai;21043510
leger;3840;8;1;sable;tiled;1445;dynamic;final;aleai;20909724
leger;480;8;48;sable;ocl;166261;;unlabelled;4partouti;4183891
leger;480;8;48;sable;ocl;163661;;unlabelled;4partouti;4368351
leger;480;8;48;sable;ocl;201401;;unlabelled;4partouti;5655368
leger;480;8;48;sable;ocl;282041;;unlabelled;4partouti;7592686
leger;480;8;48;sable;ocl;243341;;unlabelled;4partouti;6415556
leger;480;8;48;sable;ocl;184471;;unlabelled;4partouti;5077450
leger;480;8;48;sable;ocl;280851;;unlabelled;4partouti;7766754
leger;480;8;48;sable;ocl;61241;;unlabelled;4partouti;1752886
leger;480;8;48;sable;ocl;61241;;unlabelled;4partouti;1691193
leger;480;8;48;sable;ocl;61241;;unlabelled;4partouti;1756935
leger;480;8;48;sable;ocl;61241;;unlabelled;4partouti;1739037
leger;480;8;48;sable;ocl;3611;;unlabelled;aleai;108476
leger;480;8;48;sable;ocl;3611;;unlabelled;aleai;117811
leger;480;8;48;sable;ocl;3671;;unlabelled;aleai;110186
leger;480;8;48;sable;ocl;3611;;unlabelled;aleai;108872
leger;480;8;48;sable;ocl;20241;;unlabelled;aleai;549917
leger;480;8;48;sable;ocl;31341;;unlabelled;aleai;812133
leger;480;8;48;sable;ocl;3591;;unlabelled;aleai;97633
leger;480;8;48;sable;ocl;3501;;unlabelled;aleai;96068
leger;480;8;48;sable;ocl;3731;;unlabelled;aleai;102514
leger;480;8;48;sable;ocl;3881;;unlabelled;aleai;106555
leger;1920;8;48;sable;ocl;46871;;unlabelled;aleai;2881045
leger;1920;8;48;sable;ocl;43531;;unlabelled;aleai;2702068
leger;1920;8;48;sable;ocl;2191;;unlabelled;aleai;315000
leger;1920;8;48;sable;ocl;2191;;unlabelled;aleai;305710
leger;1920;8;48;sable;ocl;19761;;unlabelled;aleai;1138267
leger;480;8;48;sable;ocl;4171;;unlabelled;aleai;107119
leger;480;8;48;sable;ocl;4001;;unlabelled;aleai;98937
leger;1920;8;48;sable;ocl;31001;;unlabelled;aleai;1751691
leger;3840;8;48;sable;ocl;1;;unlabelled;aleai;35861
leger;3840;8;48;sable;ocl;1;;unlabelled;aleai;35801
leger;3840;8;48;sable;ocl;1;;unlabelled;aleai;35834
leger;480;8;48;sable;ocl;3701;;unlabelled;aleai;98354
leger;480;8;48;sable;ocl;3841;;unlabelled;aleai;100945
leger;480;8;48;sable;ocl;4061;;unlabelled;aleai;106753
leger;1920;8;48;sable;ocl;315621;;unlabelled;aleai;17631820
leger;1920;8;48;sable;ocl;150571;;unlabelled;aleai;8158731
leger;1920;8;48;sable;ocl;255021;;unlabelled;aleai;13060749
leger;1920;8;48;sable;ocl;35891;;unlabelled;aleai;2025280
leger;480;8;48;sable;ocl;82381;;unlabelled;4partouti;2426016
leger;480;8;48;sable;ocl;81001;;unlabelled;4partouti;2225567
leger;480;8;48;sable;ocl;90001;;unlabelled;4partouti;2347053
leger;480;8;48;sable;ocl;78591;;unlabelled;4partouti;2229488
leger;480;8;48;sable;ocl;82941;;unlabelled;4partouti;2376459
leger;480;8;48;sable;ocl;60861;;unlabelled;4partouti;1445486
leger;480;8;48;sable;ocl;1;;unlabelled;4partouti;445
leger;480;8;48;sable;ocl;82805;;unlabelled;4partouti;3452038
leger;480;8;48;sable;ocl;90313;;unlabelled;4partouti;3495412
leger;3840;8;48;sable;ocl;2881;;unlabelled;aleai;1192031
leger;480;8;48;sable;ocl;97071;;unlabelled;4partouti;2665810
leger;480;8;48;sable;ocl;93001;;unlabelled;4partouti;2692283
leger;480;8;48;sable;ocl;1;;unlabelled;4partouti;334354
leger;480;8;48;sable;ocl;1;;unlabelled;4partouti;281588
leger;480;8;48;sable;ocl;1;;unlabelled;4partouti;314391
leger;480;8;48;sable;ocl;1;;unlabelled;4partouti;191231
leger;480;8;48;sable;ocl;1;;unlabelled;4partouti;444
leger;480;8;48;sable;ocl;1;;unlabelled;4partouti;26392
leger;480;8;48;sable;ocl;1;;unlabelled;4partouti;993618
leger;480;8;48;sable;ocl;1;;unlabelled;4partouti;445
leger;480;8;48;sable;ocl;1;;unlabelled;4partouti;442
leger;480;8;48;sable;ocl;87411;;unlabelled;4partouti;2546687
leger;480;8;48;sable;ocl;1;;unlabelled;4partouti;438
leger;480;8;48;sable;ocl;1;;unlabelled;4partouti;424111
leger;480;8;48;sable;ocl;1;;unlabelled;4partouti;486
leger;480;8;48;sable;ocl;1;;unlabelled;4partouti;448
leger;480;8;48;sable;ocl;89781;;unlabelled;4partouti;2449344
